Date,Heure,SoleilTerre,VentTerre,SoleilJeju,VentJeju
2021-01-01,1,5.420867,589.729215,0.000216,119.639581
2021-01-01,2,1.849118,584.993732,0.00024,105.177279
2021-01-01,3,1.225854,592.911065,0.000224,106.194323
2021-01-01,4,0.733938,589.889994,0.000232,76.711604
2021-01-01,5,0.6878,548.202001,0.007168,65.164166
2021-01-01,6,0.48162,504.997469,0.000416,79.128053
2021-01-01,7,0.03712,422.277596,0.000368,47.665677
2021-01-01,8,2.159125,408.096539,0.073179,39.367256
2021-01-01,9,139.791198,440.814558,4.810405,41.376132
2021-01-01,10,581.354926,480.737455,16.913969,31.856095
2021-01-01,11,727.566467,573.189879,44.925731,30.401271
2021-01-01,12,916.805022,653.853278,53.177885,15.222801
2021-01-01,13,945.802041,640.567283,39.379245,18.471007
2021-01-01,14,850.020771,599.784397,27.943888,22.834802
2021-01-01,15,714.319215,591.707164,22.775375,29.193755
2021-01-01,16,439.092786,593.683068,15.315332,27.114439
2021-01-01,17,229.538276,599.331918,8.100974,23.777174
2021-01-01,18,444.701084,560.80821,1.891267,19.019906
2021-01-01,19,525.679582,465.330935,0.104636,36.615022
2021-01-01,20,455.494654,390.547418,0.806764,23.999395
2021-01-01,21,298.205154,358.507022,0.111212,19.657315
2021-01-01,22,115.763429,362.587662,0.010696,14.780459
2021-01-01,23,33.208089,372.330347,0.01092,23.454107
2021-01-01,0,7.294764,388.52959,0.00592,21.144714
2021-01-02,1,2.653833,394.254423,0.000144,36.328226
2021-01-02,2,0.851888,370.488128,0.000176,54.846412
2021-01-02,3,0.742156,365.430882,0.00016,68.76039
2021-01-02,4,0.66177,363.05617,0.00016,59.227653
2021-01-02,5,0.622784,366.419613,0.002848,61.032688
2021-01-02,6,0.343972,395.672361,0.000168,85.769185
2021-01-02,7,0.026549,389.516969,0.000168,75.798857
2021-01-02,8,1.943587,372.933736,0.134428,64.568118
2021-01-02,9,117.360299,357.374135,8.850012,50.822069
2021-01-02,10,592.629184,364.410081,31.385598,45.722851
2021-01-02,11,922.28564,395.375691,40.924496,42.868765
2021-01-02,12,1270.270014,424.890976,51.711672,60.963356
2021-01-02,13,1474.566959,488.430936,77.919203,65.803376
2021-01-02,14,1558.277548,500.526082,99.395005,73.005315
2021-01-02,15,1571.282677,487.256981,110.259,83.965593
2021-01-02,16,1228.879341,485.766805,77.010614,125.863504
2021-01-02,17,487.90036,473.937939,30.705688,153.996587
2021-01-02,18,594.249756,515.911651,6.507034,157.829668
2021-01-02,19,800.397298,531.753398,4.425022,176.055662
2021-01-02,20,854.852087,552.033144,3.870781,172.673771
2021-01-02,21,665.037126,613.090457,1.449216,143.086963
2021-01-02,22,283.345723,573.206812,0.836432,144.285633
2021-01-02,23,100.69145,555.166789,0.129044,128.744612
2021-01-02,0,24.403961,515.611083,0.009992,135.886938
2021-01-03,1,9.469422,538.509552,0.041832,101.995108
2021-01-03,2,3.415177,588.567275,0.00716,96.099174
2021-01-03,3,1.565982,581.419833,0.000544,95.567306
2021-01-03,4,0.776425,628.93682,0.000128,85.392086
2021-01-03,5,0.701445,622.760394,0.026064,67.025419
2021-01-03,6,0.490848,631.266691,0.023072,107.78467
2021-01-03,7,0.031921,668.777232,0.000064,108.100918
2021-01-03,8,0.98329,699.181562,0.404904,88.625475
2021-01-03,9,222.74281,649.771824,17.43302,64.032526
2021-01-03,10,1060.975055,665.835862,79.017273,90.104009
2021-01-03,11,1169.011373,637.446036,109.330477,87.084056
2021-01-03,12,1412.749144,583.30025,145.660408,70.473967
2021-01-03,13,1315.660045,575.048416,152.718673,76.922132
2021-01-03,14,1043.726089,564.591615,151.337569,98.187112
2021-01-03,15,747.303198,531.825693,91.533849,108.408642
2021-01-03,16,362.808783,552.375492,43.343513,116.181856
2021-01-03,17,227.844724,496.949226,19.005729,123.957743
2021-01-03,18,587.920765,454.438458,7.525437,100.6122
2021-01-03,19,774.321541,477.081805,5.315742,71.629188
2021-01-03,20,771.486648,488.497585,6.050261,76.905295
2021-01-03,21,429.197671,518.47412,3.243829,95.099241
2021-01-03,22,189.977367,577.951402,1.281184,61.289473
2021-01-03,23,64.254988,586.411708,0.635004,54.985268
2021-01-03,0,15.126626,576.368712,0.234816,41.307657
2021-01-04,1,6.002819,558.094766,0.223368,38.831214
2021-01-04,2,3.211798,549.612013,0.143232,42.396191
2021-01-04,3,2.388868,516.29883,0.004048,46.003664
2021-01-04,4,0.846081,492.32948,0.000392,60.754031
2021-01-04,5,0.686911,465.823156,0.026408,59.256881
2021-01-04,6,0.473824,449.344185,0.052592,71.846216
2021-01-04,7,0.027136,466.625965,0.050064,49.201213
2021-01-04,8,2.92499,388.840442,0.613702,37.906472
2021-01-04,9,270.868213,320.453377,22.315959,28.897015
2021-01-04,10,945.298304,344.557786,85.959827,10.502384
2021-01-04,11,1045.195147,297.341922,123.718448,16.412541
2021-01-04,12,1251.474053,251.52239,127.381604,31.876811
2021-01-04,13,1270.321229,186.398548,128.467059,33.037791
2021-01-04,14,1209.227676,158.647575,128.45597,27.77662
2021-01-04,15,1006.495893,143.82687,95.460893,21.196001
2021-01-04,16,712.877855,131.088754,58.317442,11.39797
2021-01-04,17,385.994791,106.789369,25.440736,6.677695
2021-01-04,18,633.272104,63.477795,4.774921,2.903473
2021-01-04,19,721.374593,66.127605,5.436018,13.091621
2021-01-04,20,675.128464,101.988948,3.823943,13.244166
2021-01-04,21,436.586592,189.188598,1.2116,9.859495
2021-01-04,22,225.929085,299.818857,0.864708,7.440413
2021-01-04,23,81.823901,388.212271,0.142308,6.583813
2021-01-04,0,19.234627,419.927319,0.06164,10.419799
2021-01-05,1,7.81543,415.536309,0.052208,18.832331
2021-01-05,2,3.657015,395.612628,0.006912,14.247623
2021-01-05,3,3.152735,433.543771,0.000216,17.528933
2021-01-05,4,1.090041,463.110923,0.0002,35.238264
2021-01-05,5,0.6632,551.734666,0.018696,23.295277
2021-01-05,6,0.604108,560.637401,0.052328,41.767613
2021-01-05,7,0.027276,658.070704,0.039856,40.708292
2021-01-05,8,1.9031,640.12033,0.253792,66.093472
2021-01-05,9,320.47497,655.444567,3.541135,113.154793
2021-01-05,10,850.338814,783.031045,11.168129,174.565705
2021-01-05,11,901.104044,826.240645,43.910281,157.255232
2021-01-05,12,1120.369985,856.189972,40.4597,175.888364
2021-01-05,13,1027.172152,861.255861,48.791969,182.926816
2021-01-05,14,1021.235573,813.622186,50.017784,183.285194
2021-01-05,15,946.359784,753.168303,50.606611,186.71544
2021-01-05,16,649.789154,734.275725,40.188906,159.999391
2021-01-05,17,426.117759,707.609033,26.436586,164.303722
